UserId,Response
008b58b84d46a50e0332032e0d3d9e3a,3
0f6f9cc0bcb338401e6e9ad2aac3aa7f,4
11e321cebd307d56075b6bf9ca4248c7,2
190b2cf87a5569b0aa93aacda8da876a,4
1abff8f3c01fdafd3bcd19f87c394ce4,0
1bd1c455f2839dc7cbc6251537f3da8c,5
1e291d9f8c99470ffa480486a34873f5,3
2a8581d33179ed475cf9cfcada387e57,8
2ebf68fd3883774de5aeeaafdefae460,10
340e8782e70cce8dbf3be406e1ef505e,15
36d239cfa27dd388296579a4d24afb15,11
3e51e4b28d98fafdb6af2a476e01ca7a,5
40911285d6743fcd280b5badd29bd31c,5
4147da6320a499a7706a4cb34679ceae,8
437132e2719f79b06bcc330b5c8d827b,2
46a48d98a47aeb653879015c3361fa64,1
567145b16da60b17212073e933b46886,3
57dd37df7c9b09ff65cdf930d2a600ed,17
5857532ecc165a002982034e30107bdf,1
5ae06be6dd4e8581d5c90c40188c4897,25
5c1e42105e8b0f72d95a7580f24fb393,4
5e1008f67932df8c7b022882d312205d,34
6ec5e178e529f6b2f418bf478f2ce59c,5
7a950c0d4743490af403d1b63f6735d6,1
7f9418fde2cfedcdde148dbdbb94d5fe,10
86a32f171475d4ad42af11c4cbb1eaf1,1
94269079ab46deae14277decb3e44399,2
9e474d6b2dda6f02fe5a5381b2ae7dd1,7
a3f1676dc2e47d8d53c2a7c129a67b30,6
a95f5fba5e1b799bd7aa667fb1c5cd08,15
aed31d20356f4f21667630fbaf6d6f11,2
b0b07d3a799b71ba702f4c5da29f27b9,10
b5c68f66246b451c0f65518977e7a241,1
c0987233440ef3ca8ad15efbe319b9fe,7
c53ab511afc9daa4c139b32cfb3911df,8
d1a66d7119f95c8f2c9361ec9f55a951,5
d6cef22e92c1343285684a3e993e6bd3,38
dc6630e697579eeb3bb390355349868b,5
e00a907093d3662aa176f39e14952433,25
e0189a864102ab9974837b37cb0f2c9d,2
e65bb7c765458b48e9ecc690c047e57e,5
eb47749ec4c3a53610bd5bc502cc6672,3
ff6c7319934da003d2cc3cf520715006,10
