   SentenceID Technique Response.median
2         175         3               3
3         177         4               3
4         178         1               3
5         179         2               3
6         180         3               3
8         183         3               3
10        189         1               3
11        191         2               3
14        194         3               3
15        195         2               3
16        196         4               3
17        197         2               3
18        198         1               3
20        200         1               3
21        201         3               3
22        202         1               3
24        204         1               3
25        205         2               3
29        209         5               3
30        210         1               3
31        211         2               3
35        215         2               3
36        217         1               3
41        222         3               3
42        223         1               3
44        225         1               3
47        229         3               3
48        230         3               3
50        232         2               3
51        233         1               3
52        234         8               3
53        235         1               3
54        236         1               3
55        237         3               3
56        238         6               3
57        239         6               3
58        240         6               3
59        241         8               3
61        243         6               3
62        245         8               3
65        249         6               3
66        250         6               3
67        251        10               3
68        252         9               3
70        254         6               3
71        255         9               3
72        257         6               3
73        258         7               3
74        262         4               3
75        263         1               3
76        264         8               3
